Genus;Species;clado;ref;sampled phylogeny;;;genus;species;sampled;%
Akodon;aerosus;B;MDD 2022;X;;;Akodon;42;30;71
Akodon;affinis;B;MDD 2022;X;;;Bibimys;3;2;66,7
Akodon;albiventer;B;MDD 2022;X;;;Blarinomys;1;1;100
Akodon;azarae;B;MDD 2022;X;;;Brucepattersonius;4;1;25
Akodon;baliolus;B;MDD 2022;;;;Castoria;1;1;100
Akodon;boliviensis;B;MDD 2022;X;;;Deltamys;2;1;50
Akodon;budini;B;MDD 2022;X;;;Gyldenstolpia;2;0;0
Akodon;caenosus;B;MDD 2022;;;;Juscelinomys;2;1;50
Akodon;cursor;B;MDD 2022;X;;;Kunsia;1;1;100
Akodon;dayi;B;MDD 2022;X;;;Lenoxus;1;1;100
Akodon;diauarum;B;Brandão et al. 2022;;;;Necromys;8;6;75
Akodon;dolores;B;MDD 2022;X;;;Oxymycterus;17;8;47,1
Akodon;fumeus;B;MDD 2022;X;;;Podoxymys ;1;1;100
Akodon;iniscatus;B;MDD 2022;X;;;Scapteromys;3;2;66,7
Akodon;josemariarguedasi;B;MDD 2022;;;;Thalpomys;2;2;100
Akodon;juninensis;B;MDD 2022;X;;;Thaptomys;1;1;100
Akodon;kadiweu;B;MDD 2022;;;;;;;
Akodon;kofordi;B;MDD 2022;X;;;;;;
Akodon;kotosh;B;MDD 2022;;;;;;;
Akodon;lindberghi;B;MDD 2022;X;;;;;;
Akodon;lutescens;B;MDD 2022;X;;;;;;
Akodon;mimus;B;MDD 2022;X;;;;;;
Akodon;mollis;B;MDD 2022;X;;;;;;
Akodon;montensis;B;MDD 2022;X;;;;;;
Akodon;mystax;B;MDD 2022;X;;;;;;
Akodon;oenos;B;MDD 2022;;;;;;;
Akodon;orophilus;B;MDD 2022;X;;;;;;
Akodon;paranaensis;B;MDD 2022;X;;;;;;
Akodon;pervalens;B;MDD 2022;;;;;;;
Akodon;philipmyersi;B;MDD 2022;;;;;;;
Akodon;polopi;B;MDD 2022;;;;;;;
Akodon;reigi;B;MDD 2022;X;;;;;;
Akodon;sanctipaulensis;B;MDD 2022;;;;;;;
Akodon;siberiae;B;MDD 2022;X;;;;;;
Akodon;simulator;B;MDD 2022;X;;;;;;
Akodon;spegazzinii;B;MDD 2022;X;;;;;;
Akodon;subfuscus;B;MDD 2022;X;;;;;;
Akodon;surdus;B;MDD 2022;;;;;;;
Akodon;sylvanus;B;MDD 2022;X;;;;;;
Akodon;toba;B;MDD 2022;X;;;;;;
Akodon;torques;B;MDD 2022;X;;;;;;
Akodon;varius;B;MDD 2022;X;;;;;;
Bibimys;chacoensis;A;MDD 2022;X;;;;;;
Bibimys;labiosus;A;MDD 2022;X;;;;;;
Bibimys;torresi;A;MDD 2022;;;;;;;
Blarinomys;breviceps;A;MDD 2022;X;;;;;;
Brucepattersonius;griserufescens;A;MDD 2022;;;;;;;
Brucepattersonius;iheringi;A;MDD 2022;;;;;;;
Brucepattersonius;nebulosus;A;MDD 2022;;;;;;;
Brucepattersonius;soricinus;A;MDD 2022;X;;;;;;
Castoria ;angustidens;B;MDD 2022;X;;;;;;
Deltamys;araucaria;B;MDD 2022;;;;;;;
Deltamys;kempi;B;MDD 2022;X;;;;;;
Gyldenstolpia;fronto;A;MDD 2022;;;;;;;
Gyldenstolpia;planaltensis;A;MDD 2022;;;;;;;
Juscelinomys;candango;B;MDD 2022;;;;;;;
Juscelinomys;huanchacae;B;MDD 2022;X;;;;;;
Kunsia;tomentosus;A;MDD 2022;X;;;;;;
Lenoxus;apicalis;A;MDD 2022;X;;;;;;
Necromys;amoenus;B;MDD 2022;X;;;;;;
Necromys;lactens;B;MDD 2022;X;;;;;;
Necromys;lasiurus;B;MDD 2022;X;;;;;;
Necromys;lenguarum;B;MDD 2022;X;;;;;;
Necromys;lilloi;B;MDD 2022;;;;;;;
Necromys;obscurus;B;MDD 2022;X;;;;;;
Necromys;punctulatus;B;MDD 2022;;;;;;;
Necromys;urichi;B;MDD 2022;X;;;;;;
Oxymycterus;amazonicus;B;MDD 2022;X;;;;;;
Oxymycterus;caparoae;B;MDD 2022;;;;;;;
Oxymycterus;dasytrichus;B;MDD 2022;X;;;;;;
Oxymycterus;delator;B;MDD 2022;X;;;;;;
Oxymycterus;hiska;B;MDD 2022;X;;;;;;
Oxymycterus;hucucha;B;MDD 2022;;;;;;;
Oxymycterus;inca;B;MDD 2022;;;;;;;
Oxymycterus;itapeby;B;MDD 2022;;;;;;;
Oxymycterus;josei;B;MDD 2022;;;;;;;
Oxymycterus;juliacae;B;MDD 2022;;;;;;;
Oxymycterus;nasutus;B;MDD 2022;X;;;;;;
Oxymycterus;nigrifrons;B;MDD 2022;;;;;;;
Oxymycterus;paramensis;B;MDD 2022;X;;;;;;
Oxymycterus;quaestor;B;MDD 2022;X;;;;;;
Oxymycterus;rufus;B;MDD 2022;X;;;;;;
Oxymycterus;wayku;B;MDD 2022;;;;;;;
Oxymycterus;willkaurco;B;MDD 2022;;;;;;;
Podoxymys ;roraimae;B;MDD 2022;X;;;;;;
Scapteromys;aquaticus;A;MDD 2022;X;;;;;;
Scapteromys;meridionalis;A;MDD 2022;;;;;;;
Scapteromys;tumidus;A;MDD 2022;X;;;;;;
Thalpomys;cerradensis;B;MDD 2022;X;;;;;;
Thalpomys;lasiotis;B;MDD 2022;X;;;;;;
Thaptomys;nigrita;B;MDD 2022;X;;;;;;
