"","Taxon","lambda","mu"
"1","Akodon_aerosus",0.614083027370789,0.086872390945273
"2","Akodon_affinis",0.618277038993863,0.0852244798267643
"3","Akodon_albiventer",0.615301779385451,0.0865464711050599
"4","Akodon_azarae",0.616694608534403,0.0843968324213049
"5","Akodon_boliviensis",0.620658442697449,0.0876552363494008
"6","Akodon_budini",0.618304374446105,0.0896126847402131
"7","Akodon_cursor",0.613350905768516,0.0890583348467377
"8","Akodon_dayi",0.615944946327455,0.0910529697069241
"9","Akodon_dolores",0.616946585545709,0.0873829109852197
"10","Akodon_fumeus",0.618872395805468,0.088594256123036
"11","Akodon_iniscatus",0.612815897206256,0.0884031950065246
"12","Akodon_juninensis",0.61477992815577,0.0840429838926764
"13","Akodon_kofordi",0.61886461092592,0.0876664358833556
"14","Akodon_lindberghi",0.62236142008908,0.0945287370837551
"15","Akodon_lutescens",0.616662717598367,0.0834168998647137
"16","Akodon_mimus",0.603628637403364,0.0938048839545939
"17","Akodon_mollis",0.6152718196925,0.0837963683753662
"18","Akodon_montensis",0.621020771769054,0.0868193964912117
"19","Akodon_mystax",0.625115792556957,0.0860022049798935
"20","Akodon_orophilus",0.615031255748486,0.0850613829026631
"21","Akodon_paranaensis",0.615752103217476,0.0849127911450067
"22","Akodon_reigi",0.615829322757939,0.0889954211716378
"23","Akodon_siberiae",0.618024009621082,0.0858149798267643
"24","Akodon_simulator",0.614408084404562,0.0826782768973369
"25","Akodon_spegazzinii",0.620395297266212,0.0896036481336885
"26","Akodon_subfuscus",0.616662717598367,0.0834168998647137
"27","Akodon_sylvanus",0.619220223101028,0.085113138147004
"28","Akodon_toba",0.614413147671191,0.0858029507988016
"29","Akodon_torques",0.615867329929802,0.0845285650464714
"30","Akodon_varius",0.615933039357412,0.0825910290278296
"31","Bibimys_chacoensis",0.588450263334483,0.105009869810786
"32","Bibimys_labiosus",0.588839541152182,0.101618321009188
"33","Blarinomys_breviceps",0.574914735050333,0.08803284916498
"34","Brucepattersonius_soricinus",0.569088228684797,0.068481675147004
"35","Castoria_angustidens",0.581945107762008,0.0903846972075899
"36","Deltamys_kempi",0.585341269594519,0.0794813325970706
"37","Juscelinomys_huanchacae",0.581509809735218,0.0902367551536618
"38","Kunsia_tomentosus",0.573089380831525,0.0907681447808256
"39","Lenoxus_apicalis",0.583830654959339,0.0959217833826897
"40","Necromys_amoenus",0.572949134697795,0.0752023331496671
"41","Necromys_lactens",0.576778162947512,0.0762671818047936
"42","Necromys_lasiurus",0.586254678828149,0.0814889638287616
"43","Necromys_lenguarum",0.586254678828149,0.0814889638287616
"44","Necromys_obscurus",0.583183417457373,0.0759942493786951
"45","Necromys_urichi",0.575408779909564,0.0788992148540613
"46","Oxymycterus_amazonicus",0.590256692781804,0.0774524271976032
"47","Oxymycterus_dasytrichus",0.582567571879852,0.0748193678101199
"48","Oxymycterus_delator",0.589757810479971,0.0810461252668442
"49","Oxymycterus_hiska",0.583269426770681,0.0772005297275633
"50","Oxymycterus_nasutus",0.580592487994552,0.0731900312588549
"51","Oxymycterus_paramensis",0.58048197859732,0.0764250212055925
"52","Oxymycterus_quaestor",0.580996829932931,0.0732461448407457
"53","Oxymycterus_rufus",0.581609037606924,0.076977697836751
"54","Podoxymys_roraimae",0.573562726788637,0.076936398848735
"55","Scapteromys_aquaticus",0.578793762273623,0.0824868838820239
"56","Scapteromys_tumidus",0.580606215023188,0.0847924255597869
"57","Thalpomys_cerradensis",0.575063183278606,0.0764183897408788
"58","Thalpomys_lasiotis",0.574592623442572,0.0727008165118508
"59","Thaptomys_nigrita",0.576345825589922,0.0870145439486019
