generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,3,4,1
3000,1,2,1
4000,3,4,1
5000,1,2,1
6000,2,3,1
7000,3,4,1
8000,2,3,1
9000,2,4,1
10000,1,3,1
11000,2,3,1
12000,2,3,1
13000,1,2,1
14000,3,4,1
15000,1,4,1
16000,1,2,1
17000,2,4,1
18000,2,3,1
19000,1,3,1
20000,2,4,1
21000,1,4,1
22000,1,3,1
23000,1,4,1
24000,1,4,1
25000,1,4,1
26000,2,4,1
27000,1,2,1
28000,1,3,1
29000,2,3,1
30000,2,4,1
31000,2,3,1
32000,1,4,1
33000,3,4,1
34000,1,2,1
35000,1,4,1
36000,3,4,1
37000,3,4,1
38000,1,4,0
39000,1,4,1
40000,2,4,1
41000,2,4,1
42000,2,3,1
43000,1,3,1
44000,3,4,1
45000,3,4,1
46000,2,4,1
47000,1,2,1
48000,1,3,1
49000,1,2,1
50000,1,3,1
51000,1,3,0
52000,3,4,1
53000,2,4,1
54000,2,3,1
55000,2,3,1
56000,2,4,1
57000,1,2,1
58000,1,2,1
59000,1,2,1
60000,1,4,1
61000,1,2,1
62000,2,4,1
63000,2,3,1
64000,1,3,1
65000,1,4,1
66000,2,3,1
67000,1,3,1
68000,2,3,1
69000,1,3,1
70000,2,3,1
71000,1,3,1
72000,1,2,1
73000,3,4,1
74000,1,4,1
75000,3,4,1
76000,2,4,1
77000,2,3,1
78000,2,4,1
79000,2,3,1
80000,1,3,1
81000,3,4,1
82000,1,3,1
83000,1,3,0
84000,3,4,1
85000,2,3,1
86000,1,3,1
87000,3,4,1
88000,2,3,1
89000,1,3,1
90000,1,2,1
91000,1,3,0
92000,3,4,1
93000,2,3,1
94000,1,2,1
95000,1,4,1
96000,1,3,1
97000,1,4,1
98000,1,3,1
99000,1,4,1
100000,2,4,1
101000,1,2,1
102000,1,3,1
103000,1,2,1
104000,2,3,1
105000,2,4,1
106000,1,2,1
107000,1,3,1
108000,2,3,1
109000,2,4,1
110000,1,4,1
111000,3,4,1
112000,2,3,1
113000,1,3,1
114000,3,4,1
115000,3,4,1
116000,1,3,1
117000,1,3,1
118000,2,3,1
119000,3,4,1
120000,2,3,1
121000,3,4,1
122000,1,2,1
123000,1,3,1
124000,3,4,1
125000,2,3,1
126000,1,4,1
127000,1,2,1
128000,2,4,1
129000,1,2,1
130000,2,3,1
131000,1,3,1
132000,2,3,1
133000,2,3,1
134000,1,2,1
135000,1,2,1
136000,2,4,1
137000,2,4,1
138000,2,3,1
139000,1,2,1
140000,2,4,1
141000,1,3,1
142000,2,4,1
143000,2,4,1
144000,1,2,1
145000,1,2,1
146000,1,2,1
147000,1,2,1
148000,1,4,1
149000,1,3,1
150000,3,4,1
151000,1,2,1
152000,2,3,1
