generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Oxymycterus_rufus,Bibimys_chacoensis,0,0.032,0,0.005,0
20000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.37823,-0.129281,0.21954,0
40000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.16509,-0.109768,0.018933,0
60000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.841577,-0.118114,0.0932453,0
80000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.03029,-0.104177,0.0355285,0
100000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.875087,-0.0384621,0.105507,0
120000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.35063,-0.160166,0.0178049,0
140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.880245,-0.143874,0.100588,0
140000,Akodon_aerosus,Akodon_cursor,3.9317,1.29386,-0.171193,0.0656932,0
160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.711589,-0.0826396,0.0297146,0
180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.464401,0.0783531,0.105422,0
200000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.290485,0.531941,0.00872413,0
220000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.445763,0.0690081,0.0424408,0
220000,Bibimys_chacoensis,Bibimys_labiosus,5.3457,1.23239,-0.271758,1.02828,0
240000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.513164,-0.00134694,0.065525,0
260000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.15696,-0.132853,0.0199614,0
260000,Lenoxus_apicalis,NA,6.73729,3.65687,-0.106074,2.35819,0
280000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.742919,-0.0443528,0.0740058,0
280000,Kunsia_tomentosus,NA,3.95851,3.16866,-0.00186662,3.14835,0
300000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.931444,-0.0999288,0.045348,0
320000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.733791,-0.0163695,0.216841,0
340000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.10525,-0.122986,0.0331783,0
360000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.21169,-0.141266,0.116743,0
380000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.39697,-0.13812,0.195038,0
380000,Necromys_obscurus,NA,5.19802,0.12216,-0.0883731,0.130215,0
400000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.889482,-0.0649023,0.0604577,0
420000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.402771,0.27395,0.0115945,0
440000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.468061,0.0744704,0.110065,0
460000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.405471,0.11874,0.0446205,0
480000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.764121,-0.0625503,0.0179874,0
500000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.468193,0.037336,0.00560471,0
520000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.483862,0.0552132,0.0223623,0
540000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.793602,-0.0535763,0.00420125,0
560000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.09526,-0.0767494,0.20008,0
580000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.975083,-0.127855,0.075753,0
600000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.63508,0.0275064,0.0699898,0
620000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.628872,-0.0251888,0.0759218,0
620000,Akodon_aerosus,NA,6.63159,2.91513,0.00232972,0.275629,0
620000,Akodon_siberiae,Akodon_budini,6.02858,2.34596,-0.158497,0.0250123,0
640000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.834829,-0.0332745,0.204683,0
660000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.494624,0.0878655,0.0060176,0
680000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.348393,0.254931,0.0984754,0
700000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.990165,-0.258613,0.0247341,0
700000,Akodon_aerosus,Akodon_cursor,4.05999,1.49157,-0.117138,0.268332,0
720000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.953195,-0.0701058,0.02082,0
740000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.946344,-0.0738995,0.167096,0
740000,Bibimys_chacoensis,Bibimys_labiosus,6.28474,1.88746,0.0743284,0.172926,0
760000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.05446,-0.0965635,0.0968343,0
780000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.648471,-0.0140786,0.0402986,0
800000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.609875,-0.00634137,0.135802,0
820000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.40967,0.192397,0.15161,0
820000,Necromys_lasiurus,Necromys_lenguarum,6.44205,2.29248,0.0537804,1.24806,0
840000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.377835,0.438316,0.0925794,0
860000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.378867,0.161214,0.0574983,0
880000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.399766,0.0744976,0.0164064,0
900000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.686881,-0.0179766,0.173911,0
900000,Necromys_obscurus,NA,6.60165,0.335857,-0.241657,0.0727042,0
900000,Bibimys_chacoensis,Bibimys_labiosus,3.70854,0.0685047,0.165398,2.22931,0
900000,Bibimys_chacoensis,Bibimys_labiosus,4.45242,9.98241,-0.249623,8.25714,0
920000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.757941,-0.0502445,0.0156731,0
940000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.762248,-0.0220544,0.0186186,0
960000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.09055,-0.0935124,0.120497,0
980000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.807424,-0.0544164,0.00477945,0
1000000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.390745,0.135464,0.0117755,0
1020000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.797498,-0.0181197,0.154471,0
1040000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.638404,-0.0101351,0.023085,0
1060000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.27818,-0.0933899,0.274763,0
1080000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.596833,0.0216855,0.102402,0
1100000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.92964,-0.137341,0.0182815,0
1120000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.650434,-0.13424,0.00807407,0
1120000,Akodon_mimus,Akodon_aerosus,3.65223,1.22591,-0.0297242,0.132577,0
1140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.686044,-0.0427114,0.141854,0
1160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.497965,0.0251024,0.00612509,0
1160000,Oxymycterus_quaestor,NA,6.49822,2.11771,-0.0720273,0.703634,0
1180000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.30666,-0.15567,0.0960194,0
1180000,Necromys_lactens,NA,5.03501,0.384424,0.370007,0.0138723,0
1200000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.498126,0.131792,0.001642,0
1220000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.11076,-0.103181,0.200479,0
1220000,Brucepattersonius_soricinus,NA,6.41686,2.72355,0.0345441,1.05005,0
1240000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.728269,-0.0504443,0.061311,0
1260000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.998504,-0.069986,0.0880823,0
1280000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.585509,-0.00480635,0.0299498,0
1300000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.772223,-0.0525861,0.0361207,0
1320000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.782323,-0.0470835,0.0475837,0
1340000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.820683,-0.0459008,0.0194979,0
1340000,Necromys_lasiurus,Necromys_lenguarum,6.06612,3.49243,0.0532194,0.417825,0
1340000,Lenoxus_apicalis,Brucepattersonius_soricinus,2.36825,0.526669,-0.101007,0.0151431,0
1360000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.706398,-0.0270207,0.0130744,0
1360000,Deltamys_kempi,Akodon_mimus,3.0071,2.66492,-0.424719,0.0737011,0
1380000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.92949,-0.252047,0.0341433,0
1380000,Akodon_aerosus,Akodon_cursor,3.94178,3.16607,-0.478698,0.123917,0
1400000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.82615,-0.0209683,0.00813477,0
1420000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.375786,0.098002,0.022513,0
1440000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.442688,0.151024,0.105633,0
1440000,Scapteromys_tumidus,Scapteromys_aquaticus,5.9181,0.236392,-0.238883,1.21374,0
1460000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.5158,0.0241216,0.00451664,0
1480000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.484859,0.0393356,0.0342596,0
