Species_ID;;Clade
Akodon_aerosus;'Akodon aerosus FMNH 170360.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170362.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170379.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170380.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170388.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170396.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170397.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170399.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170400.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170415.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170416.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170420.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170423.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170428.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 170429.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 172190.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 172192.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 172195.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 78709.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32991.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32992.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32994.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 33005.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71217.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71218.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71222.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71223.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71226.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71227.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71230.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 181479.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107475.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107479.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107491.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107497.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107539.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107568.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107573.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107578.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107592.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107597.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107601.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107644.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107646.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107647.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107661.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107879.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 129981.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 129992.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 129993.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162679.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162693.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162699.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162721.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162723.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162725.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162735.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162745.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 53622.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 122686.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23333.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23335.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23337.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23341.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23344.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23347.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27613.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27617.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27624.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27627.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27636.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27638.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27662.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27666.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27669.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 29205.JPG';Clade B
