"","Taxon","RV","RL","RM","RS","DV","DL","DM","SZ","SP","EX"
"1","Akodon_aerosus",4e-05,5.6e-05,7.3e-05,0.004461,2.5589906565422e-05,3.5025395391894e-05,5.48719810715574e-05,4.04813457140889,0.614083027370789,0.086872390945273
"2","Akodon_affinis",3.9e-05,5.6e-05,7.3e-05,0.004449,2.11993019005464e-05,2.64153946199479e-05,4.48169068326951e-05,3.96145851120378,0.618277038993863,0.0852244798267643
"3","Akodon_albiventer",3.9e-05,5.7e-05,7.2e-05,0.00452,5.28101052590206e-05,3.91998782284095e-05,6.23932317842319e-05,3.95335454680202,0.615301779385451,0.0865464711050599
"4","Akodon_azarae",3.9e-05,5.7e-05,7e-05,0.004746,4.38237151853394e-05,4.22447494078562e-05,6.27591237845432e-05,3.94382958592806,0.616694608534403,0.0843968324213049
"5","Akodon_boliviensis",4.7e-05,6.2e-05,7.2e-05,0.004731,4.16052693977016e-05,4.51368482354412e-05,5.42603331779656e-05,3.92371840403355,0.620658442697449,0.0876552363494008
"6","Akodon_budini",4.1e-05,6e-05,7.3e-05,0.004467,4.00218336794942e-05,3.50244326310507e-05,5.68540921636789e-05,4.02167151091401,0.618304374446105,0.0896126847402131
"7","Akodon_cursor",3.9e-05,5.7e-05,7.1e-05,0.00478,3.87583523364673e-05,3.25021831606195e-05,4.28566330705606e-05,4.09212471500705,0.613350905768516,0.0890583348467377
"8","Akodon_dayi",3.8e-05,5.6e-05,7.2e-05,0.004564,1.75013359820445e-05,3.08932314652183e-05,3.55023265270646e-05,4.08659270814421,0.615944946327455,0.0910529697069241
"9","Akodon_dolores",3.9e-05,5.7e-05,7.2e-05,0.004546,5.39016539476573e-06,9.99476541247111e-06,4.23082851456443e-06,4.08844502932482,0.616946585545709,0.0873829109852197
"10","Akodon_fumeus",3.9e-05,5.9e-05,7e-05,0.004734,2.18797802566441e-05,2.02716786986471e-05,1.71203798873123e-05,3.93575698992697,0.618872395805468,0.088594256123036
"11","Akodon_iniscatus",3.9e-05,5.7e-05,7.2e-05,0.004571,7.90741839337876e-06,1.67055452509843e-05,3.3710299606787e-05,3.99412945743896,0.612815897206256,0.0884031950065246
"12","Akodon_juninensis",3.8e-05,5.7e-05,7e-05,0.004738,1.05970075387566e-05,2.4013450635382e-05,1.44806464059491e-05,3.88324616762817,0.61477992815577,0.0840429838926764
"13","Akodon_kofordi",3.9e-05,6.3e-05,7e-05,0.004732,1.07924169805446e-05,1.65998375139305e-05,1.87261624867531e-05,3.93337194240504,0.61886461092592,0.0876664358833556
"14","Akodon_lindberghi",3.9e-05,5.7e-05,7.1e-05,0.004757,1.38854831176923e-05,2.37177956512273e-05,3.4868966025408e-05,3.82794923935342,0.62236142008908,0.0945287370837551
"15","Akodon_lutescens",3.7e-05,5.3e-05,7e-05,0.004732,1.57604567665158e-05,2.16987408813828e-05,2.43066415177906e-05,3.868760645341,0.616662717598367,0.0834168998647137
"16","Akodon_mimus",4e-05,5.7e-05,7.6e-05,0.004754,4.26985212763447e-05,8.39912803704481e-05,0.00016140907879025,3.97423868051988,0.603628637403364,0.0938048839545939
"17","Akodon_mollis",3.9e-05,5.5e-05,7.3e-05,0.004421,3.0620349854739e-05,3.38267429259371e-05,4.81212525170972e-05,3.95700855696398,0.6152718196925,0.0837963683753662
"18","Akodon_montensis",4e-05,5.7e-05,7.2e-05,0.00481,7.89094464137522e-06,2.09524204384781e-05,5.08545870577085e-05,4.07916623268542,0.621020771769054,0.0868193964912117
"19","Akodon_mystax",4.4e-05,5.7e-05,7.8e-05,0.004847,1.38793193642345e-05,1.62287309500543e-05,3.47800598960906e-05,3.85528146501684,0.625115792556957,0.0860022049798935
"20","Akodon_orophilus",3.8e-05,5.5e-05,7.3e-05,0.004427,2.706273452684e-05,2.85609064130234e-05,4.38255416803552e-05,3.98623112526051,0.615031255748486,0.0850613829026631
"21","Akodon_paranaensis",4.3e-05,5.7e-05,7.6e-05,0.004838,6.25509528623258e-06,2.9820066183475e-05,3.84765572616484e-05,4.00776141438758,0.615752103217476,0.0849127911450067
"22","Akodon_reigi",4e-05,5.7e-05,7.1e-05,0.004789,2.73308650696403e-06,4.09384694659226e-06,5.74742745260274e-06,3.97774272147102,0.615829322757939,0.0889954211716378
"23","Akodon_siberiae",4e-05,6e-05,7.3e-05,0.004465,1.96290498407546e-05,3.51038761747009e-05,5.55809941642167e-05,3.99901945026992,0.618024009621082,0.0858149798267643
"24","Akodon_simulator",4.6e-05,5.8e-05,7.4e-05,0.004464,2.39331865310685e-05,3.26929643318963e-05,5.03566793049636e-05,4.06164754619596,0.614408084404562,0.0826782768973369
"25","Akodon_spegazzinii",4.7e-05,6.2e-05,7.2e-05,0.004731,4.01364228509576e-06,2.10649302273082e-05,3.81766553885123e-05,3.92389611164251,0.620395297266212,0.0896036481336885
"26","Akodon_subfuscus",3.6e-05,5.3e-05,7e-05,0.004731,2.08220678356625e-05,3.59859947464344e-05,3.05805654527276e-05,3.88185117872047,0.616662717598367,0.0834168998647137
"27","Akodon_sylvanus",4.4e-05,7.3e-05,7.2e-05,0.004741,7.37169487990878e-07,3.0539320982634e-06,5.91610352964375e-06,4.05798392351619,0.619220223101028,0.085113138147004
"28","Akodon_toba",3.9e-05,5.7e-05,7.2e-05,0.004548,3.94813840645346e-05,5.50521917947045e-05,7.08386814810867e-05,4.07864372587813,0.614413147671191,0.0858029507988016
"29","Akodon_torques",3.9e-05,5.6e-05,7.3e-05,0.004436,3.7328548015038e-05,3.35895448721551e-05,5.06140672407773e-05,3.97460438592625,0.615867329929802,0.0845285650464714
"30","Akodon_varius",4.3e-05,5.8e-05,7.4e-05,0.004463,5.13875619108675e-06,2.84565687585727e-05,2.41935446179261e-05,4.08104826519226,0.615933039357412,0.0825910290278296
"31","Bibimys_chacoensis",0.000154,0.000357,0.000253,0.005124,8.9024895848957e-06,1.10854075142492e-05,5.96249632016511e-06,3.88756696772412,0.588450263334483,0.105009869810786
"32","Bibimys_labiosus",0.000153,0.000336,0.000252,0.005124,4.1455309877888e-05,8.44245992711873e-05,7.09532941891715e-05,3.8671961463709,0.588839541152182,0.101618321009188
"33","Blarinomys_breviceps",0.000148,0.000256,0.000233,0.005143,0.000151896263027519,0.000110671386632891,0.000241176543724794,3.81871849840264,0.574914735050333,0.08803284916498
"34","Brucepattersonius_soricinus",0.000144,0.000249,0.000232,0.005143,8.64012286360895e-06,3.09547967050755e-05,3.2571790377594e-05,4.00256732329469,0.569088228684797,0.068481675147004
"35","Castoria_angustidens",4.3e-05,5.7e-05,7.2e-05,0.004781,2.48708012607919e-05,3.2363028189343e-05,4.12870342405099e-05,4.04010586768283,0.581945107762008,0.0903846972075899
