"","RV","RL","RM","RS","DV","DL","DM","SZ","SP","EX"
"Akodon_aerosus",-0.488464286127201,-0.365531710776988,-0.369078032795768,-1.48118194769838,-0.26884420734417,-0.321785790647451,-0.1659642064819,-0.00816213516245634,0.805573769773559,0.371554077010283
"Akodon_affinis",-0.515652392619186,-0.365531710776988,-0.369078032795768,-1.53934160711663,-0.403915578717859,-0.578822767405377,-0.376603882864855,-0.534780432645882,1.02852726511059,0.134032087871973
"Akodon_albiventer",-0.515652392619186,-0.351057636323402,-0.387089285016571,-1.19523028889199,0.568550604359478,-0.197163682444867,-0.00840457256197291,-0.584017741379367,0.870362579638323,0.324577557538097
"Akodon_azarae",-0.515652392619186,-0.351057636323402,-0.423111789458176,-0.0998900365149565,0.292095736841722,-0.106264215265676,-0.000739649289819597,-0.641888607535158,0.944405323215305,0.0147389683329897
"Akodon_boliviensis",-0.298147540683301,-0.278687264055475,-0.387089285016571,-0.172589610787769,0.223848072174579,-0.0199255076607098,-0.178777370393564,-0.764078244957577,1.15512259369813,0.484389651385489
"Akodon_budini",-0.461276179635215,-0.307635412962646,-0.369078032795768,-1.45210211798925,0.175135685096929,-0.321814532240287,-0.124441764271987,-0.168943922325332,1.02998041669234,0.76652685538838
"Akodon_cursor",-0.515652392619186,-0.351057636323402,-0.405100537237373,0.0648956651700838,0.136266287659948,-0.397112014282484,-0.417668863696337,0.259109063746382,0.766654213771263,0.686625525821501
"Akodon_dayi",-0.542840499111172,-0.365531710776988,-0.387089285016571,-0.981978204358402,-0.517678799510904,-0.445144539538807,-0.571731251854132,0.225498214004466,0.904553309348296,0.974122608810317
"Akodon_dolores",-0.515652392619186,-0.351057636323402,-0.387089285016571,-1.06921769348578,-0.890263567447596,-1.06903281497065,-1.22682519396595,0.236752373736885,0.957800411370561,0.445137982125776
"Akodon_fumeus",-0.515652392619186,-0.322109487416232,-0.423111789458176,-0.158049695933205,-0.38298152708631,-0.762232990969592,-0.956807204503118,-0.690935331074569,1.06017641014151,0.61973544884323
"Akodon_iniscatus",-0.515652392619186,-0.351057636323402,-0.387089285016571,-0.948051736364423,-0.812823478765226,-0.868693859485331,-0.609271697761325,-0.336281354090294,0.738213179336625,0.592196817705259
"Akodon_juninensis",-0.542840499111172,-0.351057636323402,-0.423111789458176,-0.13866314279379,-0.730081687593675,-0.650528733117522,-1.01210591170734,-1.00997567246769,0.842620988493651,-0.0362630580685088
"Akodon_kofordi",-0.515652392619186,-0.26421318960189,-0.423111789458176,-0.167742972502914,-0.724070164512852,-0.871849584771764,-0.923168315415626,-0.70542617967156,1.05976256624646,0.486003898387338
"Akodon_lindberghi",-0.515652392619186,-0.351057636323402,-0.405100537237373,-0.0465770153815627,-0.628915916571493,-0.659355011454006,-0.58499926439521,-1.3459435758911,1.24565280583565,1.47510301476453
"Akodon_lutescens",-0.570028605603158,-0.408953934137744,-0.423111789458176,-0.167742972502914,-0.571234735648479,-0.719630468761799,-0.806265121144172,-1.09798545356498,0.942710002291612,-0.12650380104256
