"","Ventral","Lateral","Mandible"
"Akodon_aerosus",2.5589906565422e-05,3.5025395391894e-05,5.48719810715574e-05
"Akodon_affinis",2.11993019005464e-05,2.64153946199479e-05,4.48169068326951e-05
"Akodon_albiventer",5.28101052590206e-05,3.91998782284095e-05,6.23932317842319e-05
"Akodon_azarae",4.38237151853394e-05,4.22447494078562e-05,6.27591237845432e-05
"Akodon_boliviensis",4.16052693977016e-05,4.51368482354412e-05,5.42603331779656e-05
"Akodon_budini",4.00218336794942e-05,3.50244326310507e-05,5.68540921636789e-05
"Akodon_cursor",3.87583523364673e-05,3.25021831606195e-05,4.28566330705606e-05
"Akodon_dayi",1.75013359820445e-05,3.08932314652183e-05,3.55023265270646e-05
"Akodon_dolores",5.39016539476573e-06,9.99476541247111e-06,4.23082851456443e-06
"Akodon_fumeus",2.18797802566441e-05,2.02716786986471e-05,1.71203798873123e-05
"Akodon_iniscatus",7.90741839337876e-06,1.67055452509843e-05,3.3710299606787e-05
"Akodon_juninensis",1.05970075387566e-05,2.4013450635382e-05,1.44806464059491e-05
"Akodon_kofordi",1.07924169805446e-05,1.65998375139305e-05,1.87261624867531e-05
"Akodon_lindberghi",1.38854831176923e-05,2.37177956512273e-05,3.4868966025408e-05
"Akodon_lutescens",1.57604567665158e-05,2.16987408813828e-05,2.43066415177906e-05
"Akodon_mimus",4.26985212763447e-05,8.39912803704481e-05,0.00016140907879025
"Akodon_mollis",3.0620349854739e-05,3.38267429259371e-05,4.81212525170972e-05
"Akodon_montensis",7.89094464137522e-06,2.09524204384781e-05,5.08545870577085e-05
"Akodon_mystax",1.38793193642345e-05,1.62287309500543e-05,3.47800598960906e-05
"Akodon_orophilus",2.706273452684e-05,2.85609064130234e-05,4.38255416803552e-05
"Akodon_paranaensis",6.25509528623258e-06,2.9820066183475e-05,3.84765572616484e-05
"Akodon_reigi",2.73308650696403e-06,4.09384694659226e-06,5.74742745260274e-06
"Akodon_siberiae",1.96290498407546e-05,3.51038761747009e-05,5.55809941642167e-05
"Akodon_simulator",2.39331865310685e-05,3.26929643318963e-05,5.03566793049636e-05
"Akodon_spegazzinii",4.01364228509576e-06,2.10649302273082e-05,3.81766553885123e-05
"Akodon_subfuscus",2.08220678356625e-05,3.59859947464344e-05,3.05805654527276e-05
"Akodon_sylvanus",7.37169487990878e-07,3.0539320982634e-06,5.91610352964375e-06
"Akodon_toba",3.94813840645346e-05,5.50521917947045e-05,7.08386814810867e-05
"Akodon_torques",3.7328548015038e-05,3.35895448721551e-05,5.06140672407773e-05
"Akodon_varius",5.13875619108675e-06,2.84565687585727e-05,2.41935446179261e-05
"Bibimys_chacoensis",8.9024895848957e-06,1.10854075142492e-05,5.96249632016511e-06
"Bibimys_labiosus",4.1455309877888e-05,8.44245992711873e-05,7.09532941891715e-05
"Blarinomys_breviceps",0.000151896263027519,0.000110671386632891,0.000241176543724794
"Brucepattersonius_soricinus",8.64012286360895e-06,3.09547967050755e-05,3.2571790377594e-05
"Castoria_angustidens",2.48708012607919e-05,3.2363028189343e-05,4.12870342405099e-05
"Deltamys_kempi",4.05477214493505e-05,6.39591250495341e-05,5.2686511528744e-05
"Juscelinomys_huanchacae",2.5080240681637e-05,3.46176136944166e-05,6.24590016960127e-05
"Kunsia_tomentosus",0.000111964342560099,0.000122904297199153,0.000147579539887111
"Lenoxus_apicalis",9.53626789329488e-05,0.00012117717731334,9.66978478166298e-05
"Necromys_amoenus",3.61312692213316e-05,7.71243493523576e-05,0.000100851404114671
"Necromys_lactens",8.33816637488638e-06,1.36140429807854e-05,1.71966459471072e-05
"Necromys_lasiurus",4.38681021877592e-05,7.46445467914631e-05,9.01920390627584e-05
"Necromys_lenguarum",7.19564799202815e-05,6.4038796888542e-05,6.41931503696912e-05
"Necromys_obscurus",7.15565581126384e-06,1.5394832617045e-05,1.8983009365747e-05
"Necromys_urichi",2.96739109689851e-05,3.36037957870087e-05,4.70570034435398e-05
"Oxymycterus_amazonicus",6.98086927407612e-05,7.10909041299151e-05,0.000111542056545042
"Oxymycterus_dasytrichus",5.25763002298924e-05,9.60282131085156e-05,0.00012723229860457
"Oxymycterus_delator",4.35501789879575e-05,8.1092837907193e-05,0.000138428741353198
"Oxymycterus_hiska",1.07330316909626e-05,5.62477474369747e-05,2.86308864251405e-05
"Oxymycterus_nasutus",9.6720446486029e-05,6.8347802574646e-05,0.000143021861744355
"Oxymycterus_paramensis",8.82034980048108e-05,0.000123077557425997,0.000123133146475177
"Oxymycterus_quaestor",9.71995028569371e-05,0.000149955696875222,0.000141011120678381
"Oxymycterus_rufus",2.45087045790587e-05,3.68155595667436e-05,0.000120096827990593
"Podoxymys_roraimae",5.80255738855879e-06,1.67398095039989e-05,3.05239045683607e-05
"Scapteromys_aquaticus",1.97297753358164e-05,2.5768987291047e-05,4.31503662346616e-05
"Scapteromys_tumidus",0.000111170431483077,7.43591005400125e-05,0.000115981772302417
"Thalpomys_cerradensis",2.62483515936667e-06,3.8092273034768e-06,6.61363712522107e-06
"Thalpomys_lasiotis",3.25229193132027e-06,7.00035057711346e-05,0.000115416408847903
"Thaptomys_nigrita",4.39352448070283e-05,5.66207667998273e-05,9.90107752039431e-05
