"","Taxon","Ventral","Lateral","Mandible","Size"
"1","Akodon_aerosus",4e-05,5.6e-05,7.3e-05,0.004461
"2","Akodon_affinis",3.9e-05,5.6e-05,7.3e-05,0.004449
"3","Akodon_albiventer",3.9e-05,5.7e-05,7.2e-05,0.00452
"4","Akodon_azarae",3.9e-05,5.7e-05,7e-05,0.004746
"5","Akodon_boliviensis",4.7e-05,6.2e-05,7.2e-05,0.004731
"6","Akodon_budini",4.1e-05,6e-05,7.3e-05,0.004467
"7","Akodon_cursor",3.9e-05,5.7e-05,7.1e-05,0.00478
"8","Akodon_dayi",3.8e-05,5.6e-05,7.2e-05,0.004564
"9","Akodon_dolores",3.9e-05,5.7e-05,7.2e-05,0.004546
"10","Akodon_fumeus",3.9e-05,5.9e-05,7e-05,0.004734
"11","Akodon_iniscatus",3.9e-05,5.7e-05,7.2e-05,0.004571
"12","Akodon_juninensis",3.8e-05,5.7e-05,7e-05,0.004738
"13","Akodon_kofordi",3.9e-05,6.3e-05,7e-05,0.004732
"14","Akodon_lindberghi",3.9e-05,5.7e-05,7.1e-05,0.004757
"15","Akodon_lutescens",3.7e-05,5.3e-05,7e-05,0.004732
"16","Akodon_mimus",4e-05,5.7e-05,7.6e-05,0.004754
"17","Akodon_mollis",3.9e-05,5.5e-05,7.3e-05,0.004421
"18","Akodon_montensis",4e-05,5.7e-05,7.2e-05,0.00481
"19","Akodon_mystax",4.4e-05,5.7e-05,7.8e-05,0.004847
"20","Akodon_orophilus",3.8e-05,5.5e-05,7.3e-05,0.004427
"21","Akodon_paranaensis",4.3e-05,5.7e-05,7.6e-05,0.004838
"22","Akodon_reigi",4e-05,5.7e-05,7.1e-05,0.004789
"23","Akodon_siberiae",4e-05,6e-05,7.3e-05,0.004465
"24","Akodon_simulator",4.6e-05,5.8e-05,7.4e-05,0.004464
"25","Akodon_spegazzinii",4.7e-05,6.2e-05,7.2e-05,0.004731
"26","Akodon_subfuscus",3.6e-05,5.3e-05,7e-05,0.004731
"27","Akodon_sylvanus",4.4e-05,7.3e-05,7.2e-05,0.004741
"28","Akodon_toba",3.9e-05,5.7e-05,7.2e-05,0.004548
"29","Akodon_torques",3.9e-05,5.6e-05,7.3e-05,0.004436
"30","Akodon_varius",4.3e-05,5.8e-05,7.4e-05,0.004463
"31","Bibimys_chacoensis",0.000154,0.000357,0.000253,0.005124
"32","Bibimys_labiosus",0.000153,0.000336,0.000252,0.005124
"33","Blarinomys_breviceps",0.000148,0.000256,0.000233,0.005143
"34","Brucepattersonius_soricinus",0.000144,0.000249,0.000232,0.005143
"35","Castoria_angustidens",4.3e-05,5.7e-05,7.2e-05,0.004781
"36","Deltamys_kempi",4.1e-05,5.7e-05,7.2e-05,0.004769
"37","Juscelinomys_huanchacae",4.9e-05,5.7e-05,7.2e-05,0.004893
"38","Kunsia_tomentosus",0.000156,0.000196,0.000233,0.005182
"39","Lenoxus_apicalis",0.000145,0.000243,0.000229,0.005137
"40","Necromys_amoenus",4.8e-05,5.6e-05,7.1e-05,0.004753
"41","Necromys_lactens",4.9e-05,5.6e-05,7.1e-05,0.00473
"42","Necromys_lasiurus",4.5e-05,5.6e-05,7.1e-05,0.004732
"43","Necromys_lenguarum",4.5e-05,5.6e-05,7.1e-05,0.004729
"44","Necromys_obscurus",4.6e-05,5.6e-05,7.1e-05,0.004734
"45","Necromys_urichi",4.8e-05,5.6e-05,7.1e-05,0.00473
"46","Oxymycterus_amazonicus",4.8e-05,5.5e-05,7.2e-05,0.004887
"47","Oxymycterus_dasytrichus",4.7e-05,5.3e-05,7.1e-05,0.004889
"48","Oxymycterus_delator",4.8e-05,5.4e-05,7.2e-05,0.00488
"49","Oxymycterus_hiska",6.9e-05,4.8e-05,7e-05,0.004906
"50","Oxymycterus_nasutus",4.7e-05,5.3e-05,7.1e-05,0.004892
"51","Oxymycterus_paramensis",4.9e-05,4.8e-05,7e-05,0.0049
"52","Oxymycterus_quaestor",4.7e-05,5.1e-05,6.9e-05,0.004903
"53","Oxymycterus_rufus",4.7e-05,5.1e-05,6.9e-05,0.004902
"54","Podoxymys_roraimae",5.1e-05,5.7e-05,7.2e-05,0.004757
"55","Scapteromys_aquaticus",0.000146,0.000137,0.000211,0.005156
"56","Scapteromys_tumidus",0.000146,0.000136,0.000211,0.005155
"57","Thalpomys_cerradensis",5.1e-05,5.7e-05,7.1e-05,0.004764
"58","Thalpomys_lasiotis",5.1e-05,5.7e-05,7.1e-05,0.004764
"59","Thaptomys_nigrita",4.9e-05,5.7e-05,7.2e-05,0.004778
