generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Oxymycterus_rufus,Bibimys_chacoensis,0,0.032,0,0.005,0
5000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.722804,-0.00748938,0.124253,0
10000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.18049,-0.139044,0.0496952,0
15000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.38078,-0.13916,0.331091,0
20000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.877922,-0.0262163,0.331137,0
25000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.13778,-0.147026,0.14024,0
30000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.27018,-0.0923946,0.562658,0
35000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.29237,-0.162195,0.0568722,0
40000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.08019,-0.112718,0.037615,0
45000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.59862,-0.184103,0.0765885,0
50000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.76858,-0.0888793,0.0369617,0
55000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.702413,-0.0712058,0.162221,0
60000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.47031,-0.138262,0.0997511,0
65000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.6699,-0.181297,0.25277,0
70000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.859722,-0.0717531,0.130161,0
75000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.768819,-0.0322872,0.0647722,0
80000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.6748,-0.232152,0.00473328,0
85000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.18422,-0.129923,0.0531474,0
90000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.953399,-0.0822468,0.0520445,0
95000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.569983,0.0028624,0.037592,0
100000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.4795,-0.14771,0.39193,0
105000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.695923,-0.040107,0.00590346,0
110000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.80935,-0.142915,0.173592,0
115000,Oxymycterus_rufus,Bibimys_chacoensis,0,2.91012,-0.294973,0.292032,0
120000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.00767,-0.0449478,0.199574,0
125000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.43662,-0.101371,0.343484,0
125000,Bibimys_chacoensis,Bibimys_labiosus,5.08673,3.69851,0.0714023,2.51068,0
130000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.506985,0.0101547,0.0670063,0
135000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.934921,-0.102651,0.00730159,0
140000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.24264,-0.12404,0.366272,0
145000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.691439,-0.0367205,0.0819557,0
150000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.736829,-0.0664033,0.173629,0
155000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.566863,-0.148186,0.0308163,0
155000,Akodon_aerosus,Akodon_cursor,3.93932,1.9603,-0.51651,0.357753,0
160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.994464,-0.0624306,0.363525,0
165000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.665607,-0.0579583,0.00562229,0
170000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.488948,0.0674512,0.0546406,0
175000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.80378,-0.173605,0.443547,0
180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.860275,-0.0814531,0.181736,0
185000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.516192,0.0816339,0.119697,0
