Species_ID;;Clade
Akodon_aerosus;'Akodon aerosus FMNH 18180.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19265.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19266.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19268.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19757.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24502.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24506.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24510.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24536.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24538.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24540.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24542.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 52494.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 68614.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32991.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32992.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32994.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 33005.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 33007.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71208.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71215.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71218.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71226.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107470.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107475.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107478.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107479.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107492.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107568.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107579.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107580.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107591.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107592.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107600.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107634.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107661.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162685.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162707.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 162725.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23333.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23337.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23338.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23347.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27617.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27619.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27624.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27627.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27632.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27636.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27638.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 29189.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 29195.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107829.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107834.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107845.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107848.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107856.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107865.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107868.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107883.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107886.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107940.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 107976.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 162751.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 43375.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49702.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52544.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52549.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23351.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23355.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23356.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23357.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23359.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23360.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23361.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23362.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23363.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23364.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23365.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23369.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23370.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23371.JPG';Clade B
Akodon_budini;'Akodon budini USNM 259612.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 123063.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141602.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141611.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145329.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145330.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145348.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145361.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145363.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94450.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94453.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94468.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94469.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94471.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94476.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94479.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94485.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 140809.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 140810.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21575.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21578.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21581.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21588.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 276609.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 390141.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 390699.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584503.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584504.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584505.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584506.JPG';Clade B
Akodon_dolores;'Akodon dolores FMNH 35243.JPG';Clade B
Akodon_dolores;'Akodon dolores USNM 364531.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 46143.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74874.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74875.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74876.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74878.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74881.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74882.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 290907.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 290927.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 29127.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 35248.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 41285.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus USNM 236314.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231329.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231334.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231337.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231338.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231340.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 23671.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 75561.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 18181.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52554.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52555.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52556.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 75483.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi FMNH 128293.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi FMNH 128295.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi FMNH 128297.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33682.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33683.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33703.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 48026.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 67123.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 21559.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 49696.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 49697.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 50975.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74884.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74886.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74887.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74890.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264911.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264913.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264914.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264915.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264918.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264919.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264920.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268823.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268826.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268828.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268829.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 26883.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268831.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268832.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 2754.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 129216.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 129219.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19285.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19287.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19288.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19318.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20909.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20910.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23660.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23686.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 24491.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81348.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81349.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81350.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81351.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81368.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81374.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81375.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 18185.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 23844.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26817.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26834.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26838.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26845.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26846.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26847.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 29437.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 47956.JPG';Clade B
Akodon_mystax;'Akodon mystax FMNH 230333.JPG';Clade B
Akodon_mystax;'Akodon mystax FMNH 230335.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69605.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69606.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69609.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69613.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69623.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69627.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69628.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69629.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69644.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19719.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19721.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19722.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19725.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19733.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19738.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19739.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19740.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19741.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19742.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19743.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19744.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19745.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19746.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19754.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 23657.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232547.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232563.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232572.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232578.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232579.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232624.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232651.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis FMNH 232652.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis MN 48041.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis MN 48067.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis MN 69675.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis MN 69677.JPG';Clade B
Akodon_paranaensis;Akodon paranaensis MN 69679.JPG';Clade B
Akodon_reigi;'Akodon reigi MN 62119.JPG';Clade B
Akodon_reigi;'Akodon reigi MN 62120.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260423.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260424.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260425.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260426.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260427.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260428.JPG';Clade B
