Species_ID;;Clade
Akodon_aerosus;'Akodon aerosus FMNH 18180.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19265.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19266.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19268.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 19757.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24502.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24506.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24510.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24512.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24514.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24538.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 24540.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 52493.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 52525.JPG';Clade B
Akodon_aerosus;'Akodon aerosus FMNH 52539.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 181479.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32992.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 32994.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 33005.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 33007.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 33018.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71208.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71213.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71215.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71217.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71218.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71222.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71223.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71226.JPG';Clade B
Akodon_affinis;'Akodon affinis AMNH 71227.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107441.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107453.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107475.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107478.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107479.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107488.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107491.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107492.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107497.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107532.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107554.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107568.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 107578.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 52575.JPG';Clade B
Akodon_albiventer;'Akodon albiventer FMNH 53622.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 22233.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23329.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23333.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23336.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23337.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23338.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23340.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23341.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23344.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23345.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23346.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 23347.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27612.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27614.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27617.JPG';Clade B
Akodon_azarae;'Akodon azarae FMNH 27624.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 43375.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 43377.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49684.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49699.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49700.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49701.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49702.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 51290.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 51293.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52542.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52544.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52545.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52547.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52548.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52551.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23351.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23355.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23356.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23357.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23358.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23359.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23360.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23361.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23362.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23363.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23364.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23365.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23370.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23371.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 35345.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141602.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141603.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141604.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141605.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141606.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141609.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141611.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141612.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141613.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145332.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145337.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145354.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145356.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145358.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145361.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145363.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 140809.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 140810.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21588.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 46145.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 276608.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 276609.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 390141.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584503.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584504.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584505.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584506.JPG';Clade B
Akodon_dolores;'Akodon dolores FMNH 35243.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 162755.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74874.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74876.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74877.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74882.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 290907.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 290927.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 29127.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 29128.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 35248.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 41284.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 41285.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus USNM 236314.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231329.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231334.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231337.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231338.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231340.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 23673.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 75561.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 18181.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52553.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52554.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52555.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52556.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 75483.JPG';Clade B
Akodon_kofordi;'Akodon kofordi USNM 172966.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi FMNH 128293.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi FMNH 128297.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33681.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33682.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33683.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33684.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33685.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33686.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33687.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33703.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 48026.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 67123.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 21559.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 49696.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 49697.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74886.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74887.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74890.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74891.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264910.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264911.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264913.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264914.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264915.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264918.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264919.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264920.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 2688.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268823.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268826.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268828.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268829.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268831.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268832.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19272.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19277.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19280.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19281.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19282.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19285.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19286.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19287.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19318.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19850.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19851.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20902.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20905.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20909.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20910.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 18185.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 23844.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26817.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26834.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26837.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26838.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26845.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26846.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26847.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 29438.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 34038.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 47956.JPG';Clade B
Akodon_mystax;'Akodon mystax FMNH 230333.JPG';Clade B
Akodon_mystax;'Akodon mystax FMNH 230335.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69602.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69605.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69606.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69609.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69613.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69623.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69627.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69628.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69629.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69644.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19719.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19721.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19722.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19725.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19726.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19729.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19731.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19732.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19733.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19734.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19737.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19738.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19739.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19740.JPG';Clade B
Akodon_orophilus;'Akodon orophilus FMNH 19741.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232547.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232563.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232572.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232578.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232579.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232624.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232651.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis FMNH 232652.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 48041.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 48067.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 69675.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 69676.JPG';Clade B
