generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-2.63977,-221.274,0.731508,1
20000,0,-3.81621,-107.05,0.992533,0.422
40000,0,-3.79058,-105.005,1.21363,0.422167
60000,0,-2.75904,-107.548,0.24896,0.450571
80000,0,-2.76204,-104.267,0.25321,0.495214
100000,0,-2.70917,-105.55,0.3971,0.42225
120000,0,-3.30014,-105.181,0.413296,0.473
140000,1,-6.22027,-96.9848,0.627997,0.5034
160000,0,-2.82859,-105.23,0.519606,0.451333
180000,0,-2.27691,-105.247,0.0486186,0.443333
200000,0,-7.18699,-103.325,0.264985,0.4705
220000,1,-7.57348,-103.462,1.32124,0.4319
240000,0,-2.95481,-105.204,0.829435,0.4385
260000,1,-9.32546,-104.546,2.15506,0.4435
280000,1,-7.6078,-105.805,0.927847,0.433
300000,0,-2.73233,-104.302,0.27422,0.415
320000,0,-3.16175,-106.511,0.882703,0.4365
340000,0,-2.85555,-104.464,0.243495,0.4513
360000,0,-3.3173,-105.897,0.545313,0.394
380000,1,-5.57891,-106.848,0.586483,0.516
400000,0,-2.40268,-104.341,0.0554807,0.469275
420000,0,-4.25052,-104.773,0.889129,0.4775
440000,0,-2.45385,-105.334,0.232527,0.4235
460000,0,-2.50846,-104.163,0.190064,0.486
480000,0,-3.20654,-103.509,0.931802,0.503
500000,0,-2.33445,-103.298,0.226954,0.485
520000,0,-2.18414,-103.64,0.0349458,0.446714
540000,0,-2.29102,-103.338,0.0280731,0.4175
560000,0,-2.67123,-106.552,0.156512,0.422
580000,0,-3.08825,-105.855,0.490118,0.3855
600000,0,-2.47333,-105.448,0.284212,0.399
620000,2,-10.1005,-105.323,1.46201,0.4635
640000,0,-2.9866,-106.257,0.657375,0.4495
660000,0,-3.77479,-104.222,1.54679,0.44075
680000,0,-4.2591,-105.271,1.05917,0.435417
700000,1,-6.7784,-98.5819,0.481289,0.513437
720000,0,-3.01676,-104.428,0.64773,0.471083
740000,1,-6.77909,-105.248,1.52974,0.442071
760000,0,-3.21943,-105.061,0.702857,0.461
780000,0,-3.0645,-103.738,0.891602,0.43325
800000,0,-2.96833,-105.624,0.77537,0.4185
820000,1,-8.45127,-105.959,2.32828,0.45025
840000,0,-6.33211,-105.463,0.917344,0.426333
860000,0,-2.91547,-104.456,0.3963,0.460833
880000,0,-2.57116,-103.884,0.41467,0.541583
900000,3,-20.1088,-107.688,1.22189,0.4655
920000,0,-2.38985,-103.388,0.142591,0.4555
940000,0,-2.22503,-104.352,0.0102281,0.45975
960000,0,-2.65772,-105.499,0.127268,0.430409
980000,0,-2.41505,-103.416,0.144755,0.5327
1000000,0,-2.88897,-103.515,0.515891,0.427
1020000,0,-2.30929,-105.994,0.0286627,0.4504
1040000,0,-2.39838,-103.49,0.238072,0.4715
1060000,0,-3.10391,-107.684,0.436836,0.4515
1080000,0,-2.50674,-105.034,0.324932,0.4035
1100000,0,-2.63976,-105.58,0.0392288,0.464
1120000,1,-6.22188,-98.4384,1.29876,0.56525
1140000,0,-2.46293,-106.197,0.206073,0.396
1160000,1,-6.12822,-103.924,0.907765,0.4525
1180000,1,-8.29968,-106.107,0.995722,0.458786
1200000,0,-3.81015,-105.721,1.41513,0.5405
1220000,1,-6.55988,-106.603,0.52989,0.422
1240000,0,-4.84746,-104.231,2.59346,0.456214
1260000,0,-2.90116,-105.317,0.487309,0.40425
1280000,0,-2.44234,-103.58,0.30186,0.45225
1300000,0,-2.46975,-103.717,0.204402,0.54275
1320000,0,-3.03082,-103.933,0.766343,0.4652
1340000,2,-8.18548,-103.229,0.121654,0.51675
1360000,1,-8.7838,-100.531,0.469198,0.51725
1380000,1,-12.6069,-97.3736,2.03813,0.5655
1400000,0,-2.50488,-105.758,0.269479,0.455167
1420000,0,-2.69685,-104.136,0.477184,0.404
1440000,1,-9.66267,-106.329,3.68932,0.459
1460000,0,-2.27923,-103.173,0.167188,0.4475
1480000,0,-2.17689,-103.821,0.0485797,0.484833
1500000,0,-2.82155,-105.714,0.013134,0.4345
1520000,0,-3.62309,-107.143,0.859688,0.48625
1540000,0,-3.6763,-107.813,0.718505,0.473
1560000,0,-2.34717,-103.242,0.136744,0.479583
1580000,1,-7.18956,-109.051,0.958887,0.4024
1600000,0,-2.29961,-103.97,0.0310833,0.399
1620000,1,-5.71776,-99.1952,0.402637,0.483357
1640000,1,-6.10558,-106.258,1.29859,0.377
1660000,0,-2.67312,-103.282,0.47664,0.483
1680000,0,-2.54851,-104.113,0.276206,0.4189
1700000,0,-2.52531,-104.885,0.336204,0.413833
1720000,1,-6.53316,-106.634,0.216196,0.417333
1740000,0,-3.7453,-106.66,1.10794,0.45175
1760000,1,-8.78471,-104.003,1.8599,0.436
1780000,0,-2.77278,-106.166,0.0834838,0.412
1800000,0,-2.76155,-104.936,0.33977,0.465313
1820000,0,-2.77992,-103.544,0.492592,0.4755
1840000,0,-3.23816,-104.201,1.01987,0.4865
1860000,0,-2.5112,-105.816,0.278209,0.447333
1880000,0,-2.7058,-106.686,0.397703,0.483
1900000,0,-2.61344,-104.608,0.366952,0.42825
1920000,0,-2.3765,-104.269,0.239694,0.429
1940000,0,-2.25943,-106.699,0.0182745,0.4313
1960000,0,-2.42505,-104.214,0.0430332,0.4185
1980000,0,-2.44407,-103.484,0.307998,0.415
2000000,1,-6.53727,-106.763,0.0500594,0.481
2020000,0,-2.38154,-104.183,0.269113,0.45468
2040000,1,-6.45436,-104.703,1.91301,0.478444
2060000,1,-5.97556,-104.683,0.817719,0.425375
2080000,0,-2.86785,-105.8,0.165625,0.463917
2100000,1,-7.28907,-105.655,0.132073,0.449083
2120000,1,-6.27145,-103.48,1.81567,0.44255
2140000,0,-2.47782,-104.493,0.283798,0.424333
2160000,3,-14.8756,-106.857,1.98193,0.4615
2180000,0,-2.1885,-105.121,0.0468288,0.389
2200000,0,-4.36917,-104.176,0.0503817,0.526
2220000,0,-2.26056,-103.86,0.127485,0.519
2240000,1,-6.35832,-104.189,0.89333,0.4715
2260000,0,-2.85131,-105.722,0.170575,0.4466
2280000,0,-5.01445,-104.377,0.82466,0.446
2300000,4,-18.0924,-109.149,3.46765,0.51875
2320000,0,-2.73603,-103.632,0.595724,0.4375
2340000,0,-3.37821,-104.162,1.07251,0.417
2360000,0,-2.15178,-103.655,0.0393883,0.439
2380000,2,-9.55799,-104.074,1.19417,0.47575
2400000,1,-7.33959,-105.645,2.16762,0.528
2420000,1,-5.79699,-102.569,0.55358,0.51775
2440000,0,-2.9949,-105.11,0.727401,0.425
2460000,2,-13.7216,-108.772,1.03847,0.459313
2480000,1,-5.07173,-102.98,0.339077,0.490333
2500000,0,-3.42979,-105.475,1.22429,0.4775
2520000,1,-9.64579,-106.922,3.97774,0.464571
2540000,0,-3.29966,-104.665,0.227014,0.4685
2560000,0,-3.05857,-106.84,0.801169,0.46775
2580000,1,-8.74705,-104.6,0.813008,0.475
2600000,0,-4.02898,-104.464,1.68877,0.42475
2620000,0,-2.78916,-104.192,0.0753275,0.457286
2640000,0,-2.39464,-104.756,0.162041,0.419
2660000,0,-3.11567,-103.186,0.899379,0.474375
2680000,1,-6.05726,-104.222,1.20516,0.584
2700000,1,-7.77875,-98.4455,1.24393,0.571
2720000,0,-2.85506,-104.444,0.480109,0.4784
2740000,0,-2.84706,-106.946,0.60215,0.3815
2760000,1,-8.87197,-105.765,0.787387,0.4734
2780000,0,-3.43846,-103.528,0.491889,0.4235
2800000,0,-2.791,-104,0.342912,0.410833
2820000,0,-2.40983,-103.99,0.0561572,0.432667
2840000,0,-2.97145,-105.214,0.312524,0.430167
2860000,0,-3.29327,-103.198,1.07689,0.4276
2880000,0,-3.06878,-104.695,0.73767,0.4305
2900000,0,-2.63247,-104.517,0.360981,0.427167
2920000,0,-2.27168,-103.323,0.0649554,0.477278
2940000,0,-3.00323,-104.13,0.540056,0.463375
2960000,0,-4.75523,-104.608,2.13435,0.4805
2980000,0,-3.61229,-104.693,1.42419,0.411
3000000,1,-6.06924,-100.547,1.27442,0.5785
3020000,0,-2.71387,-104.708,0.439552,0.443429
3040000,0,-2.23968,-103.263,0.0375112,0.4885
3060000,0,-2.91286,-103.759,0.770597,0.459
3080000,0,-2.32907,-104.474,0.148066,0.434
3100000,1,-6.0431,-106.85,0.917496,0.4375
3120000,0,-2.64724,-106.255,0.0935237,0.564
3140000,2,-11.0769,-104.479,2.05259,0.4775
3160000,1,-8.93968,-104.542,1.15625,0.4185
3180000,0,-2.1816,-103.963,0.0265203,0.3705
3200000,0,-2.82258,-103.245,0.629838,0.448
3220000,1,-6.67089,-99.1025,0.902453,0.577
3240000,0,-2.55497,-104.041,0.349006,0.472591
3260000,0,-3.71413,-103.348,1.47983,0.444667
3280000,1,-8.13653,-104.543,0.831667,0.53675
3300000,0,-2.30208,-103.5,0.164207,0.45375
3320000,1,-15.7196,-107.074,3.00111,0.450667
3340000,1,-9.06439,-103.99,0.331594,0.44625
3360000,0,-2.39465,-103.615,0.0904568,0.436
3380000,0,-2.86112,-105.426,0.213815,0.46765
3400000,0,-3.629,-109.509,1.11846,0.457933
3420000,0,-3.75463,-103.555,1.59346,0.4295
3440000,0,-2.71314,-108.513,0.448062,0.4465
3460000,0,-2.40009,-104.194,0.174992,0.450688
3480000,0,-2.53277,-103.656,0.291263,0.442577
3500000,0,-3.25172,-103.775,1.00215,0.43275
3520000,0,-2.41,-103.35,0.266395,0.461269
3540000,0,-3.74077,-105.965,1.20518,0.415
3560000,0,-3.35374,-105.45,0.59613,0.445
3580000,1,-5.93799,-104.771,0.447192,0.463667
3600000,0,-3.86979,-104.949,0.461557,0.441214
3620000,1,-8.31233,-106.672,0.356692,0.478667
3640000,0,-2.82231,-103.891,0.562785,0.3975
3660000,1,-8.20099,-106.931,1.73797,0.450625
3680000,0,-2.36708,-103.534,0.206195,0.4015
3700000,0,-2.44764,-103.867,0.287771,0.438667
3720000,1,-6.03801,-107.84,0.500402,0.465071
3740000,0,-2.46654,-103.529,0.27213,0.4505
3760000,0,-2.64345,-106.56,0.223524,0.458813
3780000,0,-3.05248,-105.894,0.25693,0.440375
3800000,0,-2.41612,-104.057,0.226499,0.399
3820000,0,-3.00188,-103.545,0.794269,0.44
3840000,0,-5.38733,-104.723,1.67704,0.4495
3860000,0,-3.87774,-110.949,0.704339,0.4463
3880000,0,-5.14449,-103.698,0.300044,0.444833
3900000,0,-2.81695,-103.166,0.706899,0.4425
3920000,2,-9.68535,-108.938,0.924157,0.456
3940000,0,-3.07568,-105.311,0.731787,0.478833
3960000,1,-8.50237,-104.083,0.229903,0.458
3980000,1,-7.05118,-103.166,0.866353,0.45
4000000,2,-11.145,-106.106,1.20675,0.460929
4020000,0,-4.02394,-104.501,0.42968,0.4905
4040000,1,-5.50938,-106.247,0.467026,0.465
4060000,0,-3.63695,-103.406,0.715998,0.42525
4080000,0,-2.45715,-104.373,0.230175,0.487
4100000,0,-4.08692,-103.733,1.44204,0.454
4120000,1,-7.3756,-103.724,0.623849,0.473
4140000,0,-2.82283,-103.134,0.642667,0.480762
4160000,0,-2.46315,-105.26,0.194669,0.5105
4180000,0,-3.84049,-104.68,0.148676,0.481846
4200000,1,-6.65997,-104.285,0.222486,0.4055
4220000,0,-5.17978,-104.561,0.187488,0.479
4240000,0,-2.56269,-104.245,0.366835,0.4075
4260000,0,-2.47251,-105.895,0.230829,0.471
4280000,2,-13.2398,-98.7267,0.912654,0.5295
4300000,0,-2.48001,-107.534,0.197854,0.498
4320000,0,-2.9363,-105.295,0.192032,0.506333
4340000,0,-2.22141,-103.978,0.02199,0.4415
4360000,0,-2.21804,-105.54,0.0544898,0.41625
4380000,0,-2.83476,-104.484,0.635077,0.4995
4400000,0,-2.41524,-103.511,0.13535,0.44
4420000,0,-2.78599,-107.691,0.0665706,0.495
4440000,0,-2.43956,-103.736,0.0434636,0.432
4460000,0,-2.3763,-103.377,0.155795,0.483214
4480000,0,-3.04219,-104.217,0.737694,0.4605
4500000,0,-2.59721,-106.156,0.0492873,0.4815
4520000,0,-2.79781,-103.863,0.514513,0.402
4540000,0,-3.45183,-110.085,0.0527443,0.455562
4560000,0,-5.66927,-103.8,2.27738,0.436417
4580000,0,-2.55786,-104.622,0.385412,0.50025
4600000,0,-2.31851,-104.477,0.103839,0.468389
4620000,0,-2.27677,-104.988,0.142733,0.44675
4640000,0,-2.59757,-104.863,0.426307,0.476
4660000,0,-2.28399,-104.313,0.120613,0.4645
4680000,0,-3.32734,-104.99,0.0843988,0.465741
4700000,2,-8.14448,-102.915,0.743369,0.588
4720000,0,-3.43541,-104.627,0.332021,0.5375
4740000,0,-2.98965,-104.196,0.537501,0.471722
4760000,0,-3.46249,-107.707,0.858058,0.416
4780000,3,-18.5496,-101.767,1.75608,0.537667
4800000,3,-12.9914,-101.731,2.0047,0.485
4820000,0,-3.81696,-105.695,0.959455,0.431714
4840000,0,-4.05773,-106.752,0.637338,0.552
4860000,0,-2.63773,-103.697,0.432305,0.449571
4880000,0,-5.76938,-103.847,0.547968,0.465417
4900000,0,-2.31502,-104.2,0.0691529,0.44475
4920000,1,-7.36228,-104.292,1.06844,0.5595
4940000,1,-6.78656,-105.276,1.63442,0.4845
4960000,0,-2.67924,-107.807,0.232052,0.5235
4980000,0,-2.54356,-105.933,0.00614998,0.444
5000000,0,-2.57199,-104.084,0.339718,0.461731
5020000,1,-5.49352,-104.434,0.667517,0.498
5040000,1,-5.23022,-98.8803,0.234859,0.5755
5060000,0,-3.67667,-103.695,1.21482,0.490833
5080000,0,-2.5318,-104.565,0.185565,0.41125
5100000,1,-7.21957,-105.568,0.696943,0.399
5120000,0,-2.36239,-103.092,0.245854,0.485
5140000,1,-7.52593,-96.7565,1.21041,0.494583
5160000,0,-2.24709,-104.542,0.0590278,0.439
5180000,0,-3.07297,-104.898,0.477545,0.5675
5200000,0,-2.34355,-103.69,0.15207,0.4565
5220000,0,-2.50778,-103.833,0.254754,0.4316
5240000,0,-3.23127,-104.226,1.10592,0.4055
5260000,1,-12.0497,-96.7377,1.06962,0.56175
5280000,0,-3.29966,-104.445,0.576093,0.4165
5300000,0,-2.71235,-103.289,0.545605,0.429833
5320000,0,-2.42893,-103.545,0.175092,0.4395
5340000,0,-2.21939,-105.452,0.0200573,0.468227
5360000,0,-2.51183,-104.399,0.412149,0.42
5380000,0,-2.55404,-104.062,0.270775,0.4255
5400000,0,-3.13636,-105.226,0.842084,0.426143
5420000,0,-2.39977,-103.987,0.173151,0.434125
5440000,0,-3.52848,-105.515,1.08552,0.4612
5460000,0,-2.25057,-107.01,0.181849,0.491
5480000,1,-8.22961,-96.3654,1.8356,0.51625
5500000,0,-2.73096,-105.415,0.244161,0.508115
5520000,0,-2.92487,-105.629,0.547826,0.397
5540000,0,-3.11633,-106.564,0.716215,0.449929
5560000,0,-2.35851,-105.314,0.160047,0.411333
5580000,1,-6.41919,-103.749,1.90959,0.434
5600000,0,-2.23079,-104.165,0.0529457,0.5055
5620000,0,-2.68084,-104.121,0.20977,0.4345
5640000,0,-3.44031,-105.917,1.18351,0.481781
5660000,1,-5.99761,-104.87,0.178453,0.441083
5680000,2,-11.9356,-98.64,4.57403,0.475917
5700000,1,-5.68459,-100.448,0.742557,0.566333
5720000,0,-3.47841,-103.809,0.161118,0.415625
5740000,0,-2.50837,-103.584,0.312519,0.4563
5760000,1,-6.63,-107.849,1.14404,0.474816
5780000,0,-2.78199,-103.359,0.627854,0.452
5800000,0,-3.10273,-107.144,0.292514,0.4285
5820000,0,-2.83063,-104.751,0.471634,0.4525
5840000,0,-2.86557,-105.332,0.504055,0.4375
