Species_ID,
Akodon_aerosus,'Akodon aerosus FMNH 170360.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170362.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170379.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170380.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170388.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170396.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170397.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170399.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170400.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170415.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170416.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170420.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170423.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170428.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 170429.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 172190.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 172192.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 172195.JPG'
Akodon_aerosus,'Akodon aerosus FMNH 78709.JPG'
Akodon_affinis,'Akodon affinis AMNH 32991.JPG'
Akodon_affinis,'Akodon affinis AMNH 32992.JPG'
Akodon_affinis,'Akodon affinis AMNH 32994.JPG'
Akodon_affinis,'Akodon affinis AMNH 33005.JPG'
Akodon_affinis,'Akodon affinis AMNH 71217.JPG'
Akodon_affinis,'Akodon affinis AMNH 71218.JPG'
Akodon_affinis,'Akodon affinis AMNH 71222.JPG'
Akodon_affinis,'Akodon affinis AMNH 71223.JPG'
Akodon_affinis,'Akodon affinis AMNH 71226.JPG'
Akodon_affinis,'Akodon affinis AMNH 71227.JPG'
Akodon_affinis,'Akodon affinis AMNH 71230.JPG'
Akodon_affinis,'Akodon affinis AMNH 181479.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107475.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107479.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107491.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107497.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107539.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107568.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107573.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107578.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107592.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107597.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107601.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107644.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107646.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107647.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107661.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 107879.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 129981.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 129992.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 129993.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162679.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162693.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162699.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162721.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162723.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162725.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162735.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 162745.JPG'
Akodon_albiventer,'Akodon albiventer FMNH 53622.JPG'
Akodon_azarae,'Akodon azarae FMNH 122686.JPG'
Akodon_azarae,'Akodon azarae FMNH 23333.JPG'
Akodon_azarae,'Akodon azarae FMNH 23335.JPG'
Akodon_azarae,'Akodon azarae FMNH 23337.JPG'
Akodon_azarae,'Akodon azarae FMNH 23341.JPG'
Akodon_azarae,'Akodon azarae FMNH 23344.JPG'
Akodon_azarae,'Akodon azarae FMNH 23347.JPG'
Akodon_azarae,'Akodon azarae FMNH 27613.JPG'
Akodon_azarae,'Akodon azarae FMNH 27617.JPG'
Akodon_azarae,'Akodon azarae FMNH 27624.JPG'
Akodon_azarae,'Akodon azarae FMNH 27627.JPG'
Akodon_azarae,'Akodon azarae FMNH 27636.JPG'
Akodon_azarae,'Akodon azarae FMNH 27638.JPG'
Akodon_azarae,'Akodon azarae FMNH 27662.JPG'
Akodon_azarae,'Akodon azarae FMNH 27666.JPG'
Akodon_azarae,'Akodon azarae FMNH 27669.JPG'
Akodon_azarae,'Akodon azarae FMNH 29205.JPG'
Akodon_azarae,'Akodon azarae FMNH 29207.JPG'
Akodon_azarae,'Akodon azarae FMNH 29214.JPG'
Akodon_azarae,'Akodon azarae FMNH 29223.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107641.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107829.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107834.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107850.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107865.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107868.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107883.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107892.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107928.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107940.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 107976.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 162749.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 162751.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 162753.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 43376.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 43377.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 49700.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 49702.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 51290.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 51293.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 51295.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 51296.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52547.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52548.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52549.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52551.JPG'
Akodon_budini,'Akodon budini FMNH 23351.JPG'
Akodon_budini,'Akodon budini FMNH 23352.JPG'
Akodon_budini,'Akodon budini FMNH 23355.JPG'
Akodon_budini,'Akodon budini FMNH 23356.JPG'
Akodon_budini,'Akodon budini FMNH 23357.JPG'
Akodon_budini,'Akodon budini FMNH 23359.JPG'
Akodon_budini,'Akodon budini FMNH 23360.JPG'
Akodon_budini,'Akodon budini FMNH 23361.JPG'
Akodon_budini,'Akodon budini FMNH 23362.JPG'
Akodon_budini,'Akodon budini FMNH 23363.JPG'
Akodon_budini,'Akodon budini FMNH 23364.JPG'
Akodon_budini,'Akodon budini FMNH 23365.JPG'
Akodon_budini,'Akodon budini FMNH 23369.JPG'
Akodon_budini,'Akodon budini FMNH 23370.JPG'
Akodon_budini,'Akodon budini FMNH 23371.JPG'
Akodon_budini,'Akodon budini FMNH 39467.JPG'
Akodon_budini,'Akodon budini USNM 259611.JPG'
Akodon_budini,'Akodon budini USNM 259612.JPG'
Akodon_cursor,'Akodon cursor FMNH 141602.JPG'
Akodon_cursor,'Akodon cursor FMNH 141603.JPG'
Akodon_cursor,'Akodon cursor FMNH 141604.JPG'
Akodon_cursor,'Akodon cursor FMNH 141605.JPG'
